Player Name,Position,Pos. Type,Avg. Assists,Avg. Points,Avg. Field Goals Attempted,Avg. Field Goals Made,Avg. Oe,Avg. Rebounds Offensive,Avg. Rebounds Total,Avg. Turnovers,Count of Number of Records
Devin Booker,SG,guard,0.85,8.25,4.41,2.22,0.53,0.15,1.22,0.70,27.00
Devin Harris,PG,guard,1.92,7.80,5.96,2.65,0.57,0.38,2.19,1.00,26.00
Devyn Marble,SF,big,0.00,2.00,0.83,0.17,0.25,0.00,0.33,0.17,6.00
Dewayne Dedmon,C,big,0.11,5.23,2.78,1.33,0.52,1.06,3.83,0.61,18.00
Dion Waiters,SG,guard,1.84,9.94,9.42,3.74,0.47,0.61,3.26,1.48,31.00
Dirk Nowitzki,PF,big,1.97,17.10,13.37,6.30,0.55,0.83,6.83,1.00,30.00
Donald Sloan,PG,guard,2.33,3.75,2.67,1.08,0.50,0.33,1.67,0.83,12.00
Donatas Motiejunas,PF,big,1.00,7.00,4.67,2.33,0.43,0.42,1.92,1.92,12.00
Doug McDermott,SF,big,0.75,9.80,7.71,3.46,0.45,0.46,2.25,0.71,28.00
Draymond Green,SF,big,7.10,14.55,11.38,5.24,0.63,1.69,9.03,2.90,29.00
Drew Gooden,PF,big,0.50,5.33,4.17,1.00,0.27,1.83,4.50,0.50,6.00
Dwight Howard,C,big,1.38,12.62,8.12,4.81,0.80,3.69,11.46,2.50,26.00
Dwight Powell,PF,big,0.83,8.43,5.90,3.07,0.67,1.55,5.72,0.76,29.00
Dwyane Wade,SG,guard,4.48,18.90,16.07,7.38,0.54,1.00,3.83,2.41,29.00
E'Twaun Moore,SG,guard,0.91,6.38,4.27,1.95,0.45,0.18,1.55,0.64,22.00
Ed Davis,PF,big,1.28,7.14,4.52,2.79,0.90,2.76,7.45,0.90,29.00
Elfrid Payton,PG,guard,6.10,12.76,11.19,4.81,0.57,1.00,3.81,2.35,31.00
Elijah Millsap,SG,guard,1.06,3.09,2.06,0.56,0.39,0.33,1.83,0.39,18.00
Emmanuel Mudiay,PG,guard,5.74,10.65,12.74,3.96,0.44,0.78,3.52,3.96,23.00
Enes Kanter,C,big,0.58,11.68,8.13,4.61,0.84,2.97,8.19,1.23,31.00
Eric Bledsoe,PG,guard,6.13,20.39,15.87,7.19,0.52,0.58,4.03,3.55,31.00
